entry_id	timestamp_utc	phase	hypothesis	condition	metric_primary	primary_value	runtime_seconds	status	artifact	notes
R0029	2026-05-14T06:37:42Z	quality	text_features	s01_e01_e12_val_e09_e10_full_mse_llama32_3b_groupmean_mean	test/pearson_mean	0.163417	159.464999	promote_exploratory	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e09_e10_full_mse_llama32_3b_groupmean_3seed_v1.json	Frozen Llama config replicated on e09/e10: mean delta +0.050164 vs same-split Qwen MSE, all seed deltas positive.
R0030	2026-05-14T07:11:25Z	smoke	public_baseline_eval	pretrained_tribe_textonly_s01e01a_surface_approx	approx_surface_pearson_mean	0.110629	647.584853	compatibility	cache/ablation_results/pretrained_tribe_textonly_s01e01a_surface_approx_v1.json	Public facebook/tribev2 text-only checkpoint evaluated on one local train chunk by projecting Schaefer1000 labels to standard fsaverage5; not official leaderboard-comparable.
R0031	2026-05-14T07:22:58Z	smoke	public_baseline_eval	pretrained_tribe_textonly_s01e01a_parcel_approx	approx_parcel_pearson_mean	0.113327	1.094007	compatibility	cache/ablation_results/pretrained_tribe_textonly_s01e01a_parcel_approx_v1.json	Public facebook/tribev2 text-only checkpoint evaluated on one local train chunk by averaging surface predictions into projected Schaefer parcels; 983/1000 parcels nonempty and still approximate.
R0032	2026-05-14T07:56:53Z	smoke	public_baseline_eval	pretrained_tribe_text_audio_video_s01e01a_surface_approx	approx_surface_pearson_mean	0.160431	2385.520512	compatibility	cache/ablation_results/pretrained_tribe_text_audio_video_s01e01a_surface_approx_v1.json	Public facebook/tribev2 full multimodal checkpoint evaluated on one local train chunk in approximate surface space; not official leaderboard-comparable.
R0033	2026-05-14T07:58:22Z	smoke	public_baseline_eval	pretrained_tribe_text_audio_video_s01e01a_parcel_approx	approx_parcel_pearson_mean	0.166720	1.640584	compatibility	cache/ablation_results/pretrained_tribe_text_audio_video_s01e01a_parcel_approx_v2.json	Public facebook/tribev2 full multimodal checkpoint evaluated on one local train chunk in approximate parcel space with warm caches and array export.
R0034	2026-05-14T07:59:14Z	smoke	multimodal_ablation	pretrained_tribe_text_vs_full_s01e01a_parcel_matched	delta_approx_parcel_pearson_mean	0.058203	0.000000	compatibility	cache/ablation_results/pretrained_tribe_text_vs_full_s01e01a_parcel_matched_v1.json	On matched nearest sample times within 0.06s, public full multimodal exceeded public text-only by +0.0582 mean Pearson on one local train-distribution chunk; this calibrates modality contribution, not a new model improvement.
R0035	2026-05-14T08:56:50Z	smoke	public_baseline_eval	pretrained_tribe_text_audio_video_s01e01b_parcel_approx	approx_parcel_pearson_mean	0.197998	2870.487208	compatibility	cache/ablation_results/pretrained_tribe_text_audio_video_s01e01b_parcel_approx_v1.json	Public facebook/tribev2 full multimodal checkpoint evaluated on local e01b approximate parcel labels with array export; not official leaderboard-comparable.
R0036	2026-05-14T08:50:16Z	smoke	public_baseline_eval	pretrained_tribe_text_audio_video_s01e02a_parcel_approx	approx_parcel_pearson_mean	0.213289	2475.548869	compatibility	cache/ablation_results/pretrained_tribe_text_audio_video_s01e02a_parcel_approx_v1.json	Public facebook/tribev2 full multimodal checkpoint evaluated on local e02a approximate parcel labels with array export; not official leaderboard-comparable.
R0037	2026-05-14T08:07:17Z	quality	calibration	tribe_calibration_multimodal_s01e01a_parcel_temporal_ridge	delta_approx_parcel_pearson_mean	-0.017894	0.104968	reject	cache/ablation_results/tribe_calibration_multimodal_s01e01a_parcel_temporal_ridge_v1.json	Per-parcel temporal ridge calibration on public TRIBE predictions lost to raw public TRIBE on held-out rows from the same local chunk.
R0038	2026-05-14T08:57:09Z	quality	calibration	tribe_calibration_multimodal_train_e01ab_val_e02a_parcel_temporal_ridge	delta_approx_parcel_pearson_mean	-0.012626	0.255855	reject	cache/ablation_results/tribe_calibration_multimodal_train_e01ab_val_e02a_parcel_temporal_ridge_v1.json	Cross-chunk per-parcel temporal ridge calibration trained on e01a/e01b and validated on e02a lost to raw public TRIBE; reject this calibration line.
R0039	2026-05-14T09:05:24Z	quality	calibration	tribe_calibration_multimodal_s01e01a_parcel_global_ridge_a1000	delta_approx_parcel_pearson_mean	-0.063476	0.109003	reject	cache/ablation_results/tribe_calibration_multimodal_s01e01a_parcel_global_ridge_a1000_v1.json	Global spatiotemporal ridge adapter on public TRIBE predictions lost sharply to raw public TRIBE on held-out rows from the same local chunk.
R0040	2026-05-14T09:05:28Z	quality	calibration	tribe_calibration_multimodal_train_e01ab_val_e02a_parcel_global_ridge_a1000	delta_approx_parcel_pearson_mean	-0.020744	0.243198	reject	cache/ablation_results/tribe_calibration_multimodal_train_e01ab_val_e02a_parcel_global_ridge_a1000_v1.json	Cross-chunk global spatiotemporal ridge adapter trained on e01a/e01b and validated on e02a lost to raw public TRIBE; close shallow output-adapter branch.
R0041	2026-05-14T09:21:22Z	smoke	submission_harness	tribe_textonly_friends_s7_sub01_s07e01a	shape_finite	(460,1000);finite	1.042119	supported_smoke	cache/submissions/tribe_textonly_friends_s7_sub01_s07e01a_manifest_v1.json	Submission-shaped text-only public TRIBE prediction file generated for hidden Friends S7 s07e01a/sub-01; no hidden labels used and no score claim.
R0042	2026-05-14T09:22:52Z	smoke	submission_harness	tribe_full_friends_s7_sub01_s07e01a	shape_finite	(460,1000);finite	1822.996709	supported_smoke	cache/submissions/tribe_full_friends_s7_sub01_s07e01a_manifest_v1.json	Submission-shaped full text+audio+video public TRIBE prediction file generated for hidden Friends S7 s07e01a/sub-01; no hidden labels used and no score claim.
R0043	2026-05-14T09:56:21Z	quality	tests	focused_submission_evaluator_calibration_suite	pytest_pass	29/29	3.29	supported_smoke	pytest_stdout	Focused tests passed for ablation config, event splits, losses, delay bank, direct text events, empty-metric handling, public-checkpoint evaluator utilities, calibration adapters, and submission prediction utilities.
R0044	2026-05-14T10:03:21Z	quality	modality_ablation	pretrained_tribe_textonly_s01e02a_parcel_approx	approx_parcel_pearson_mean	0.135589	1.067197	compatibility	cache/ablation_results/pretrained_tribe_textonly_s01e02a_parcel_approx_v1.json	Public TRIBE text-only on available-label s01e02a approximate parcel metric; local compatibility result, not official leaderboard.
R0045	2026-05-14T10:03:21Z	quality	modality_ablation	pretrained_tribe_audioonly_s01e02a_parcel_approx	approx_parcel_pearson_mean	undefined	0.662127	reject/cache_behavior	cache/ablation_results/pretrained_tribe_audioonly_s01e02a_parcel_approx_v1.json	Public TRIBE audio-only produced constant predictions in this evaluator path, making Pearson undefined; do not interpret as a scored zero.
R0046	2026-05-14T10:03:21Z	quality	modality_ablation	pretrained_tribe_videoonly_s01e02a_parcel_approx	approx_parcel_pearson_mean	0.175551	1.006555	compatibility	cache/ablation_results/pretrained_tribe_videoonly_s01e02a_parcel_approx_v1.json	Public TRIBE video-only on available-label s01e02a approximate parcel metric; video exceeds text-only by +0.0400 locally.
R0047	2026-05-14T10:03:21Z	quality	modality_ablation	pretrained_tribe_text_audio_s01e02a_parcel_approx	approx_parcel_pearson_mean	0.135589	1.059594	compatibility	cache/ablation_results/pretrained_tribe_text_audio_s01e02a_parcel_approx_v1.json	Public TRIBE text+audio matched text-only on this evaluator path, consistent with the audio-only constant-output finding.
R0048	2026-05-14T10:03:21Z	quality	modality_ablation	pretrained_tribe_text_video_s01e02a_parcel_approx	approx_parcel_pearson_mean	0.210799	1.335898	compatibility	cache/ablation_results/pretrained_tribe_text_video_s01e02a_parcel_approx_v1.json	Public TRIBE text+video nearly matched full multimodal on s01e02a, trailing full by -0.00249 mean Pearson.
R0049	2026-05-14T10:03:21Z	quality	modality_ablation	pretrained_tribe_audio_video_s01e02a_parcel_approx	approx_parcel_pearson_mean	0.202912	1.327386	compatibility	cache/ablation_results/pretrained_tribe_audio_video_s01e02a_parcel_approx_v1.json	Public TRIBE audio+video trailed full multimodal by -0.01038 mean Pearson on s01e02a.
R0050	2026-05-14T10:03:21Z	quality	modality_ablation	pretrained_tribe_modality_ablation_s01e02a_parcel_approx	best_condition	text_audio_video	0.213289	compatibility	cache/ablation_results/pretrained_tribe_modality_ablation_s01e02a_parcel_approx_v1.json	On available-label s01e02a, full multimodal remained best; text+video was second at 0.210799. This supports the paper-style modality direction locally but is not a new model improvement.
R0051	2026-05-14T10:10:25Z	quality	evaluator_fix	pretrained_eval_audio_event_pruning	pytest_pass	15/15	2.96	supported	tests/test_pretrained_eval_utils.py	Fixed local evaluator so audio-only and text+audio preserve Video through ExtractAudioFromVideo before pruning unrequested video events; focused utility tests passed.
R0052	2026-05-14T10:10:25Z	quality	modality_ablation	pretrained_tribe_textonly_s01e02a_parcel_approx_v2	approx_parcel_pearson_mean	0.135589	1.089	compatibility	cache/ablation_results/pretrained_tribe_textonly_s01e02a_parcel_approx_v2.json	Corrected-grid public TRIBE text-only on available-label s01e02a approximate parcel metric.
R0053	2026-05-14T10:10:25Z	quality	modality_ablation	pretrained_tribe_audioonly_s01e02a_parcel_approx_v2	approx_parcel_pearson_mean	0.153013	0.712	compatibility	cache/ablation_results/pretrained_tribe_audioonly_s01e02a_parcel_approx_v2.json	Corrected-grid public TRIBE audio-only is valid after preserving video source events for audio extraction.
R0054	2026-05-14T10:10:25Z	quality	modality_ablation	pretrained_tribe_videoonly_s01e02a_parcel_approx_v2	approx_parcel_pearson_mean	0.175551	0.686	compatibility	cache/ablation_results/pretrained_tribe_videoonly_s01e02a_parcel_approx_v2.json	Corrected-grid public TRIBE video-only on available-label s01e02a approximate parcel metric.
R0055	2026-05-14T10:10:25Z	quality	modality_ablation	pretrained_tribe_text_audio_s01e02a_parcel_approx_v2	approx_parcel_pearson_mean	0.173635	1.390	compatibility	cache/ablation_results/pretrained_tribe_text_audio_s01e02a_parcel_approx_v2.json	Corrected-grid public TRIBE text+audio improves over either text-only or audio-only locally.
R0056	2026-05-14T10:10:25Z	quality	modality_ablation	pretrained_tribe_text_video_s01e02a_parcel_approx_v2	approx_parcel_pearson_mean	0.210799	1.386	compatibility	cache/ablation_results/pretrained_tribe_text_video_s01e02a_parcel_approx_v2.json	Corrected-grid public TRIBE text+video nearly matches full multimodal, trailing by -0.00249 mean Pearson.
R0057	2026-05-14T10:10:25Z	quality	modality_ablation	pretrained_tribe_audio_video_s01e02a_parcel_approx_v2	approx_parcel_pearson_mean	0.202912	1.002	compatibility	cache/ablation_results/pretrained_tribe_audio_video_s01e02a_parcel_approx_v2.json	Corrected-grid public TRIBE audio+video trails full multimodal by -0.01038 mean Pearson.
R0058	2026-05-14T10:10:25Z	quality	modality_ablation	pretrained_tribe_modality_ablation_s01e02a_parcel_approx_v2	best_condition	text_audio_video	0.213289	compatibility	cache/ablation_results/pretrained_tribe_modality_ablation_s01e02a_parcel_approx_v2.json	Corrected local modality ablation: full multimodal remains best, text+video second, audio+video third; still not a new model improvement.
R0059	2026-05-14T10:10:25Z	quality	tests	focused_submission_evaluator_calibration_suite_after_audio_fix	pytest_pass	30/30	3.29	supported	pytest_stdout	Focused suite passed after evaluator audio-event pruning fix; includes one new test covering Video preservation before audio extraction.
R0060	2026-05-14T10:17:00Z	quality	hrf_offset	tribe_hrf_offset_train_e01ab_val_e02a	delta_val_selected_vs_baseline	0.000000	0.315983	reject	cache/ablation_results/tribe_hrf_offset_train_e01ab_val_e02a_v1.json	Scalar HRF offset selection among 3/4/5/6/7s chose the default 5s on e01a/e01b; validation on e02a matched baseline exactly, so no improvement.
R0061	2026-05-14T10:32:53Z	quality	late_fusion	tribe_late_fusion_integer_timed_train_e01ab_val_e02a	delta_val_selected_vs_full	0.001959	3.143855	exploratory_below_gate	cache/ablation_results/tribe_late_fusion_integer_timed_train_e01ab_val_e02a_v1.json	Global convex late fusion over full/text_video/audio_video improved held-out e02a by +0.0020, below the +0.01 meaningful gate.
R0062	2026-05-14T10:32:53Z	quality	late_fusion	tribe_regionwise_fusion_integer_timed_train_e01ab_val_e02a	delta_val_regionwise_vs_full	0.004637	3.276549	exploratory_below_gate	cache/ablation_results/tribe_regionwise_fusion_integer_timed_train_e01ab_val_e02a_v1.json	Parcel-wise convex fusion over full/text_video/audio_video improved held-out e02a by +0.0046, still below the +0.01 meaningful gate.
R0063	2026-05-14T10:32:53Z	quality	late_fusion	tribe_regionwise_fusion_all_conditions_train_e01ab_val_e02a	delta_val_regionwise_vs_full	-0.001085	93.864481	reject	cache/ablation_results/tribe_regionwise_fusion_all_conditions_train_e01ab_val_e02a_v1.json	Broader seven-condition parcel-wise fusion with 0.5s alignment tolerance failed on held-out e02a; reject this broader variant.
R0064	2026-05-14T10:32:53Z	quality	tests	focused_research_suite_after_hrf_and_fusion	pytest_pass	41/41	3.25	supported	pytest_stdout	Focused suite passed after adding HRF, global late-fusion, and region-wise fusion ablation harnesses.
R0065	2026-05-14T10:37:33Z	quality	late_fusion	tribe_regionwise_fusion_loocv_s01_e01ab_e02a	mean_delta_vs_full	0.004940	10.943994	exploratory_below_gate	cache/ablation_results/tribe_regionwise_fusion_loocv_s01_e01ab_e02a_v1.json	Leave-one-chunk-out region-wise fusion was positive on all three folds but mean delta +0.00494 remains below +0.01 meaningful gate.
R0066	2026-05-14T10:44:34Z	quality	late_fusion	tribe_groupwise_fusion_loocv_s01_e01ab_e02a	mean_delta_vs_full_best_mode	0.002438	34.608182	exploratory_below_gate	cache/ablation_results/tribe_groupwise_fusion_loocv_s01_e01ab_e02a_v1.json	Network/hemi-network shared fusion was positive on all folds but weaker than parcel-wise fusion; best mean delta +0.00244 remains below +0.01 meaningful gate.
R0067	2026-05-14T10:51:00Z	quality	tests	focused_research_suite_after_groupwise_fusion	pytest_pass	43/43	3.29	supported	pytest_stdout	Focused suite passed after adding group-wise fusion ablation harness and research logging; warnings are existing dependency/lightning warnings.
R0068	2026-05-14T11:01:21Z	quality	subject_adaptation	tribe_frozen_readout_loocv_s01_e01ab_e02a	mean_delta_vs_full_average_head	0.032820	205.403371	supported_local	cache/ablation_results/tribe_frozen_readout_loocv_s01_e01ab_e02a_v1.json	Frozen public TRIBE low-rank subject-specific ridge readout beat the public full average-subject head on all three chunk-LOOCV folds; local 1Hz interpolated-label result only.
R0069	2026-05-14T11:02:00Z	quality	tests	focused_readout_evaluator_suite	pytest_pass	13/13	3.02	supported	pytest_stdout	Focused readout/evaluator/fusion tests passed after adding frozen-readout ablation harness; one existing neuralset warning remains.
R0070	2026-05-14T11:04:00Z	quality	tests	focused_research_suite_after_frozen_readout	pytest_pass	47/47	3.36	supported	pytest_stdout	Full focused research suite passed after frozen-readout ablation; warnings are existing neuralset, x-transformers, and Lightning warnings.
R0071	2026-05-14T11:07:13Z	quality	subject_adaptation	tribe_prediction_ridge_loocv_s01_e01ab_e02a	mean_delta_vs_full_average_head	0.028392	155.435954	supported_local	cache/ablation_results/tribe_prediction_ridge_loocv_s01_e01ab_e02a_v1.json	Matched supervised ridge calibration over public average-head predictions beat the public full average-subject head on all three chunk-LOOCV folds; low-rank readout exceeds it by only +0.00443 mean.
R0072	2026-05-14T11:11:00Z	quality	tests	focused_research_suite_after_readout_guards	pytest_pass	49/49	3.30	supported	pytest_stdout	Full focused research suite passed after adding readout disjointness and row-alignment guards; warnings are existing dependency/lightning warnings.
R0073	2026-05-14T11:28:15Z	quality	subject_adaptation	tribe_frozen_readout_train_e01ab_val_e02a_v2_guarded	delta_vs_full_average_head	0.028450	16.161437	supported_local	cache/ablation_results/tribe_frozen_readout_train_e01ab_val_e02a_v2_guarded.json	Guarded rerun of frozen low-rank readout with episode-disjoint/metadata checks reproduced the e02a delta and refreshed low-rank caches with metadata.
R0074	2026-05-14T11:28:37Z	quality	subject_adaptation	tribe_prediction_ridge_train_e01ab_val_e02a_v2_guarded	delta_vs_full_average_head	0.020986	4.226408	supported_local	cache/ablation_results/tribe_prediction_ridge_train_e01ab_val_e02a_v2_guarded.json	Guarded rerun of matched prediction-ridge calibration reproduced the e02a delta under baseline metadata checks.
R0075	2026-05-14T11:49:35Z	quality	baseline	pretrained_tribe_text_audio_video_s01e02b_parcel_approx_v1	mean_pearson	0.223898	2254.550834	supported_proxy	cache/ablation_results/pretrained_tribe_text_audio_video_s01e02b_parcel_approx_v1.json	Public full TRIBE baseline array for sub-01 Friends s01e02b completed; local approximate 1Hz parcel metric only, not leaderboard-comparable.
R0076	2026-05-14T11:55:00Z	quality	subject_adaptation	tribe_frozen_readout_episode_holdout_s01_e01_e02	mean_delta_vs_full_average_head	0.041123	120.829719	supported_local_episode_proxy	cache/ablation_results/tribe_subject_adaptation_episode_holdout_s01_e01_e02_v1.json	Frozen low-rank subject readout beat raw public average head in both episode-heldout directions: +0.040478 train e01 val e02 and +0.041769 train e02 val e01.
R0077	2026-05-14T11:55:00Z	quality	subject_adaptation	tribe_prediction_ridge_episode_holdout_s01_e01_e02	mean_delta_vs_full_average_head	0.039428	231.760980	supported_local_episode_proxy	cache/ablation_results/tribe_subject_adaptation_episode_holdout_s01_e01_e02_v1.json	Matched prediction-ridge calibration also beat raw public average head in both episode-heldout directions: +0.036675 train e01 val e02 and +0.042181 train e02 val e01.
R0078	2026-05-14T11:55:00Z	quality	subject_adaptation	lowrank_vs_prediction_ridge_episode_holdout_s01_e01_e02	mean_delta	0.001695	0	not_supported	cache/ablation_results/tribe_subject_adaptation_episode_holdout_s01_e01_e02_v1.json	Low-rank readout does not clear the +0.01 specific gate over the matched prediction-ridge control; it wins one episode direction by +0.003803 and loses the reverse by -0.000412.
R0079	2026-05-14T11:58:00Z	quality	tests	focused_research_suite_after_episode_holdout	pytest_pass	51/51	3.34	supported	pytest_stdout	Full focused research suite passed after episode-disjoint and metadata guard updates; warnings are existing neuralset, x-transformers, and Lightning warnings.
R0080	2026-05-14T12:05:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_train_e01_val_e02	delta_vs_full_average_head	0.035927	176.727292	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_train_e01_val_e02_v1.json	Native fMRI-TR scoring: frozen low-rank readout beat raw public average head on held-out e02 by +0.035927; matched prediction-ridge delta was +0.033679.
R0081	2026-05-14T12:05:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_train_e02_val_e01	delta_vs_full_average_head	0.039117	176.901209	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_train_e02_val_e01_v1.json	Native fMRI-TR scoring: frozen low-rank readout beat raw public average head on held-out e01 by +0.039117; matched prediction-ridge delta was +0.040313.
R0082	2026-05-14T12:08:00Z	quality	subject_adaptation	tribe_native_tr_subject_adaptation_episode_holdout_s01_e01_e02	mean_delta_vs_full_average_head	0.037522	353.628501	supported_local_native_tr	cache/ablation_results/tribe_native_tr_subject_adaptation_episode_holdout_s01_e01_e02_v1.json	Native fMRI-TR episode-heldout aggregate: low-rank +0.037522 vs raw head and prediction-ridge +0.036996 vs raw head; low-rank minus prediction-ridge only +0.000525, below the +0.01 specific gate.
R0083	2026-05-14T12:10:00Z	quality	tests	focused_research_suite_after_native_tr	pytest_pass	53/53	3.32	supported	pytest_stdout	Full focused research suite passed after adding native-TR subject-adaptation evaluator; warnings are existing neuralset, x-transformers, and Lightning warnings.
R0084	2026-05-14T12:10:00Z	data	materialization	git_annex_get_sub02_friends_fmri_atlas	files_available	2/2	10.435500	supported	research/logs/git_annex_get_sub02_friends_fmri_atlas_v1.log	Materialized sub-02 Friends fMRI h5 and Schaefer atlas needed for multi-subject native-TR validation.
