entry_id	timestamp_utc	entry_type	project_phase	hypothesis_id	experiment_name	claim_tested	script	command	git_commit	git_dirty	code_diff_summary	host	gpu	python_version	data_root	dataset	subject_ids	task	movie	train_selector	val_selector	test_selector	heldout_policy	leakage_checks	n_train_units	n_val_units	n_test_units	cache_policy	timeline_cache_version	feature_cache_version	model_source	checkpoint	features_to_use	ablation_variable	condition	baseline_entry_id	random_seed	epochs	batch_size	limit_train_batches	loss	optimizer	scheduler	model_config_hash	metric_primary	primary_metric_value	metric_secondary_json	runtime_seconds	result_json_path	artifacts_json	failure_modes	interpretation	claim_status	next_action	reviewer	notes
S0011	2026-05-14T01:19:56Z	run	quality	H003	s01_e01_e08_full_loss_ablation	High-weight PearsonMSE improves default-scale Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	PearsonMSE loss and episode split harness added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm after first run	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	loss	high_pearson_mse_vs_mse	n/a	33,34,35	10	1	n/a	MSELoss/PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.012724	{"mse_mean":0.084577,"pearson_mse_mean":0.071853,"deltas":[0.001789,-0.019375,-0.020585],"all_positive":false}	489.000000	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_3seed_v1.json	{"artifact_id":"A0011","log_id":"A0012"}	none	High-weight PearsonMSE failed at default model scale.	reject	test only weak MSE-dominant auxiliary once before stopping Pearson-loss line	Codex	Primary metric value records mean delta.
S0012	2026-05-14T01:22:50Z	run	quality	H003	s01_e01_e08_full_aux_p010	Weak Pearson auxiliary improves default-scale Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	PearsonMSE loss supports configurable weights	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm cache	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	loss	pearson_weight_0.1_mse_weight_1.0	S0011_mse_mean	33,34,35	10	1	n/a	PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	0.004053	{"mse_mean":0.084577,"aux_mean":0.08863,"deltas":[0.01434,0.002002,-0.004183],"all_positive":false}	251.205777	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p010_3seed_v1.json	{"artifact_id":"A0013","log_id":"A0014"}	none	Mean positive but one negative seed; not promoted.	mixed	run larger-split falsification before any promotion	Codex	Primary metric value records mean delta.
S0013	2026-05-14T01:23:33Z	run	quality	H003	s01_e01_e08_full_aux_p025	Stronger weak Pearson auxiliary improves default-scale Pearson over MSE	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	PearsonMSE loss supports configurable weights	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm cache	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	loss	pearson_weight_0.25_mse_weight_1.0	S0011_mse_mean	33,34,35	10	1	n/a	PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.003232	{"mse_mean":0.084577,"aux_mean":0.081345,"deltas":[0.009115,-0.003928,-0.014882],"all_positive":false}	252.187590	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_aux_p025_3seed_v1.json	{"artifact_id":"A0015","log_id":"A0016"}	none	Mean negative; reject.	reject	do not continue this weight	Codex	Primary metric value records mean delta.
S0014	2026-05-14T01:27:00Z	run	quality	H004	s01_e01_e08_full_mse_delay_l6s2	Hidden TemporalDelayBank improves default-scale MSE baseline	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	TemporalDelayBank added after transformer before head	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e06	e07-e08	n/a	episode-heldout	no val episode chunks in train	12 timelines	4 timelines	0	warm cache	text_loss_episode_s01_e01_e08_val_e07_e08_v1	text_loss_episode_s01_e01_e08_val_e07_e08_v1	local default	n/a	text	temporal_delay_bank	hidden_lags6_stride2_mse	S0011_mse_mean	33,34,35	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	0.000628	{"baseline_mean":0.084577,"delay_mean":0.085205,"deltas":[0.000698,0.000621,0.000565],"all_positive":true}	252.000000	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e08_val_e07_e08_full_mse_delay_l6s2_3seed_v1.json	{"artifact_id":"A0017","log_id":"A0018"}	none	All-positive but far below meaningful threshold.	neutral	test output-level delay once on larger split; do not claim improvement	Codex	Primary metric value records mean delta.
S0015	2026-05-14T02:16:54Z	run	quality	H003	s01_e01_e12_full_aux_p010_falsification	Weak Pearson auxiliary generalizes to larger episode split	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	larger split cache and weak auxiliary falsification	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e10	e11-e12	n/a	episode-heldout	no val episode chunks in train	20 timelines	4 timelines	0	first MSE cold text cache; rest warm	text_loss_episode_s01_e01_e12_val_e11_e12_v1	text_loss_episode_s01_e01_e12_val_e11_e12_v1	local default	n/a	text	loss	pearson_weight_0.1_mse_weight_1.0	same artifact MSE seeds	33,34,35	10	1	n/a	MSELoss/PearsonMSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	0.002574	{"mse_mean":0.093322,"aux_mean":0.095896,"deltas":[-0.005355,0.015133,-0.002056],"all_positive":false}	2723.641295	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_aux_p010_3seed_v1.json	{"artifact_id":"A0020","log_id":"A0021"}	none	Larger split remains mixed and below gate; stop Pearson-loss line.	reject	move to output-level temporal/hemodynamic modeling under MSE	Codex	Primary metric value records mean delta; first MSE runtime includes cold cache.
S0016	2026-05-14T02:24:45Z	run	quality	H004	s01_e01_e12_full_mse_output_delay_l6s2	Output-level TemporalDelayBank improves default-scale MSE baseline	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	output-level TemporalDelayBank added after subject head before pooling	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e10	e11-e12	n/a	episode-heldout	no val episode chunks in train	20 timelines	4 timelines	0	warm text cache	text_loss_episode_s01_e01_e12_val_e11_e12_v1	text_loss_episode_s01_e01_e12_val_e11_e12_v1	local default	n/a	text	output_temporal_delay_bank	output_lags6_stride2_mse	S0015 same artifact MSE seeds	33,34,35	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.001497	{"baseline_mean":0.093322,"output_delay_mean":0.091825,"deltas":[-0.01175,0.005108,0.002152],"all_positive":false,"positive_seeds":2}	127.718266	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_output_delay_l6s2_3seed_v1.json	{"artifact_id":"A0022","log_id":"A0023"}	none	Output-level delay failed the larger-split gate; pause delay-bank line.	reject	move to text representation quality under MSE	Codex	Primary metric value records mean delta.
S0017	2026-05-14T03:09:26Z	run	quality	H005	s01_e01_e12_full_mse_qwen06b_6layer_mean	Averaging six Qwen hidden layers improves text-feature quality over one layer	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	harness text feature override flags added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e10	e11-e12	n/a	episode-heldout	no val episode chunks in train	20 timelines	4 timelines	0	first seed cold text cache; rest warm	text_loss_episode_s01_e01_e12_val_e11_e12_qwen06b_6layers_v1	text_loss_episode_s01_e01_e12_val_e11_e12_qwen06b_6layers_v1	local default	n/a	text	text_feature_layers	qwen06b_layers_0_0.2_0.4_0.6_0.8_1.0_mean_aggregated	S0015 same artifact MSE seeds	33,34,35	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.011640	{"baseline_mean":0.093322,"feature_mean":0.081682,"deltas":[0.000718,-0.014526,-0.021112],"all_positive":false,"positive_seeds":1,"extractor_dims":"text:(1,1024)"}	2446.037261	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_qwen06b_6layers_3seed_v1.json	{"artifact_id":"A0024","log_id":"A0025"}	protocol narrowed: layers were mean-aggregated to one vector	Averaged six-layer Qwen underperformed; do not promote. This does not test concatenated layers.	reject	run cheap extractor-dimension smoke before next feature ablation	Codex	Primary metric value records mean delta; first seed runtime includes cold feature cache.
S0018	2026-05-14T03:11:35Z	failure	quality	H005	smoke_qwen06b_6layers_cat_dims	Concatenated Qwen hidden layers can be exposed through data.layer_aggregation=cat	experiments/algonauts_text_loss_ablation.py	see failure log	0151e9a	yes	harness text feature override flags added	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a	e01b	n/a	chunk smoke only	not a quality claim	1 chunk	1 chunk	0	no feature extraction; failed validation	smoke_qwen06b_6layers_cat_dims_v1	smoke_qwen06b_6layers_cat_dims_v1	local tiny	n/a	text	data.layer_aggregation	cat	n/a	33	1	1	1	MSELoss	Adam	OneCycleLR	n/a	validation_error	n/a	{"error":"data.layer_aggregation only allows group_mean or mean"}	n/a	n/a	{"log_id":"A0026"}	pydantic validation rejected data.layer_aggregation=cat	Concatenated-layer text features are not exposed via this config switch.	blocked	inspect data layer plumbing before attempting concatenated feature run	Codex	Failure logged by directive.
S0019	2026-05-14T03:17:02Z	run	quality	H005	smoke_qwen06b_6layers_none_dims	data.layer_aggregation=None preserves six Qwen text feature layers	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	CLI maps data-layer-aggregation none to Python None	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a	e01b	n/a	chunk smoke only	not a quality claim	1 chunk	1 chunk	0	cold small feature cache	smoke_qwen06b_6layers_none_dims_v1	smoke_qwen06b_6layers_none_dims_v1	local tiny	n/a	text	data.layer_aggregation	none	n/a	33	1	1	1	MSELoss	Adam	OneCycleLR	n/a	extractor_dims	text:(6,1024)	{"test_pearson":8.3e-05,"seconds":200.808787}	200.808787	cache/ablation_results/smoke_qwen06b_6layers_none_dims_v1.json	{"artifact_id":"A0027","log_id":"A0028"}	none	Confirmed valid config path for preserving layer axis before full run.	supported_smoke	run full e01-e12 six-layer Qwen ablation with layer_aggregation=None	Codex	Smoke metric is not a quality claim.
S0020	2026-05-14T04:01:43Z	run	quality	H005	s01_e01_e12_full_mse_qwen06b_6layer_none	True six-layer Qwen hidden features improve text-feature quality over one layer	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	CLI supports layer_aggregation=None and metadata logging	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01-e10	e11-e12	n/a	episode-heldout	no val episode chunks in train	20 timelines	4 timelines	0	first seed cold text cache; rest warm	text_loss_episode_s01_e01_e12_val_e11_e12_qwen06b_6layers_none_v1	text_loss_episode_s01_e01_e12_val_e11_e12_qwen06b_6layers_none_v1	local default	n/a	text	text_feature_layers	qwen06b_layers_0_0.2_0.4_0.6_0.8_1.0_layer_axis_preserved	S0015 same artifact MSE seeds	33,34,35	10	1	n/a	MSELoss	Adam	OneCycleLR	n/a	test/pearson_mean_delta	-0.007474	{"baseline_mean":0.093322,"feature_mean":0.085848,"deltas":[0.01032,-0.003659,-0.029081],"all_positive":false,"positive_seeds":1,"extractor_dims":"text:(6,1024)"}	2575.888067	cache/ablation_results/algonauts_text_loss_episode_s01_e01_e12_val_e11_e12_full_mse_qwen06b_6layers_none_3seed_v1.json	{"artifact_id":"A0029","log_id":"A0030"}	none	Correctly exposed six-layer Qwen features underperformed one-layer Qwen baseline.	reject	do not pursue same-backbone layer richness; consider stronger text backbone only after smoke check	Codex	Primary metric value records mean delta; first seed runtime includes cold feature cache.
S0021	2026-05-14T04:25:35Z	run	quality	H006	smoke_llama32_3b_groupmean_dims	Paper-style Llama-3.2-3B group-mean text features are viable	experiments/algonauts_text_loss_ablation.py	see result_json command metadata	0151e9a	yes	harness supports text backbone/layer overrides	ripper-TRX50-AERO-D	GPU1 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a	e01b	n/a	chunk smoke only	not a quality claim	1 chunk	1 chunk	0	cold small feature cache	smoke_llama32_3b_groupmean_dims_v1	smoke_llama32_3b_groupmean_dims_v1	local tiny	n/a	text	text_model_name	meta-llama/Llama-3.2-3B_group_mean	n/a	33	1	1	1	MSELoss	Adam	OneCycleLR	n/a	extractor_dims	text:(5,3072)	{"test_pearson":0.003294,"seconds":681.880234,"peak_vram_mb":13545.374}	681.880234	cache/ablation_results/smoke_llama32_3b_groupmean_dims_v1.json	{"artifact_id":"A0031","log_id":"A0032"}	none	Confirmed viable paper-style Llama text feature path before full run.	supported_smoke	run full e01-e12 Llama text feature ablation	Codex	Smoke metric is not a quality claim.
S0022	2026-05-14T05:57:07Z	run	quality	H007	smoke_text_audio_qwen06b_dims	Text+audio feature path is viable before full multimodal ablation	experiments/algonauts_text_loss_ablation.py	CUDA_VISIBLE_DEVICES=0 python experiments/algonauts_text_loss_ablation.py --features-to-use text audio --tiny-model --limit-train-batches 1	0151e9a	yes	dirty; harness modality controls added	ripper-TRX50-AERO-D	GPU0 RTX PRO 6000 Blackwell Max-Q	Python 3.12.3	/home/ripper/data/tribe_benchmarks	Algonauts2025	sub-01	friends	s01	e01a	e01b	n/a	chunk smoke only	not a quality claim; adjacent chunk split	1 chunk	1 chunk	0	cold text/audio feature cache	smoke_text_audio_qwen06b_dims_v1	text=smoke_text_audio_qwen06b_dims_v1,audio=smoke_text_audio_qwen06b_dims_v1	local tiny	n/a	text,audio	features_to_use	text_audio_qwen06b_wav2vecbert	n/a	33	1	1	1	MSELoss	Adam	OneCycleLR	n/a	extractor_dims	text:(1,1024);audio:(1,1024)	{"test_pearson":0.000815,"seconds":235.060789,"peak_vram_mb":9280.208}	235.060789	cache/ablation_results/smoke_text_audio_qwen06b_dims_v1.json	{"artifact_id":"A0033","log_id":"A0034"}	none	Confirmed multimodal harness/event path; no quality claim from tiny adjacent split.	supported_smoke	run full paired text-only vs text+audio only after the current Llama feature decision	Codex	Smoke launched while Llama full ablation continued on GPU1.
