qid	axis	rung	priority	status	prerequisites	title	hypothesis	script	command_template	primary_metric	gate	baseline_ref	est_runtime_hours	linked_ledger_entry	primary_value	runtime_seconds	started_at	finished_at	notes
HC01-S	C	smoke	2	pending		VLM hidden-state feature extraction smoke	Qwen2-VL hidden states extracted on one chunk; cache size and dim documented	experiments/feature_extract_vlm_hidden_states.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/feature_extract_vlm_hidden_states.py --vlm qwen2-vl-7b-instruct --chunks s01e01a --layers last --check-dims	feature_extractor_dims	dims = (T, D) finite; cache_size_mb logged	none	2						Likely slowest extractor. Validate cache size before scale-up.
HC02-S	C	smoke	2	pending		Contrastive-aligned feature extraction smoke	ImageBind-style projection of text+audio+video into shared D	experiments/feature_extract_contrastive_aligned.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/feature_extract_contrastive_aligned.py --chunks s01e01a --check-dims	feature_extractor_dims	dims = (T, D) finite	none	1						
HE01-S	E	smoke	2	pending		HRF basis fit smoke	Canonical HRF + temporal derivative basis fits on existing public-TRIBE prediction arrays	experiments/tribe_hrf_basis_ablation.py (to write)	python experiments/tribe_hrf_basis_ablation.py --basis canonical_plus_deriv --subjects sub-01 --episodes s01e01a --check-shapes	hrf_basis_shape	(n_TRs, 1000) finite	fixed_5s_shift	0.25						No training; operates on cached predictions.
HD01-S	D	smoke	3	pending	H001-E	Subject-LoRA injection smoke	LoRA rank-8 adapters wrap transformer linears; one forward+backward succeeds; subject param counts logged	experiments/tribe_subject_lora.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_subject_lora.py --subjects sub-01 --episodes s01e01 --lora-rank 8 --tiny-model --limit-train-batches 1	subject_lora_param_counts	finite gradients per subject	H001-E	0.5						
HD02-S	D	smoke	3	pending	H001-E	FiLM subject conditioning smoke	Subject-conditional LN gamma/beta integrated; one forward+backward; identity check at zero-init	experiments/tribe_film_subject.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_film_subject.py --subjects sub-01 --episodes s01e01 --tiny-model --limit-train-batches 1	film_identity_at_zero_init	max abs diff from baseline forward < 1e-5	H001-E	0.5						
HD03-S	D	smoke	3	pending	H001-E	Hypernetwork readout smoke	Subject-embedding -> readout matrix generation runs and matches expected output shape	experiments/tribe_subject_hypernet.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_subject_hypernet.py --subjects sub-01 --episodes s01e01 --tiny-model --limit-train-batches 1	hypernet_output_shape	matches per-subject linear output shape	H001-E	0.5						
HD04-S	D	smoke	3	pending	H001-E	Subject-embedding-token smoke	Prepended subject token participates in attention; ablation of token reduces subject discriminability	experiments/tribe_subject_token.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_subject_token.py --subjects sub-01 sub-02 --episodes s01e01 --tiny-model --limit-train-batches 1	subject_token_attention_share	non-zero attention to subject token	H001-E	0.5						
HC03-S	C	smoke	3	pending	H001-E	Cross-modal combiner smoke	Replace MLP combiner with stacked cross-attention blocks; forward+backward succeeds; param count documented	experiments/tribe_cross_modal_combiner.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_cross_modal_combiner.py --subjects sub-01 --episodes s01e01 --tiny-model --limit-train-batches 1 --cross-attn-depth 2	cross_modal_param_count	finite gradients	H001-E	0.5						
HC04-S	C	smoke	3	pending	HC01-S H001-E	Dual-stream (per-modality + VLM) smoke	Combiner accepts both legacy three-stream features and VLM hidden states; gradient flows through both	experiments/tribe_dual_stream.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_dual_stream.py --subjects sub-01 --episodes s01e01 --tiny-model --limit-train-batches 1	dual_stream_gradient_check	gradients non-zero in both branches	HC01-S	0.5						
HB05-S	B	smoke	3	pending	H001-E	Learned text per-layer weights smoke	Replace frozen-mean over Llama layers with learned softmax weights	experiments/text_layer_weights_ablation.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/text_layer_weights_ablation.py --subjects sub-01 --episodes s01e01 --tiny-model --limit-train-batches 1	learned_layer_weight_init	weights sum to 1 at init	H001-E	0.5						
HB06-S	B	smoke	3	pending	H001-E	Llama-3.3-8B text features smoke	Larger backbone caches and produces (L, D) text features within VRAM budget	experiments/feature_extract_llama33_8b.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/feature_extract_llama33_8b.py --chunks s01e01a --check-dims	feature_extractor_dims	dims = (L, D) finite; VRAM < 80 GB during extraction	H001-E	1						
HB01-E	B	exploratory	4	pending	H001-E HB01-S	V-JEPA-2 exploratory	Replace video extractor with V-JEPA-2 in H001-E protocol	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --video-features vjepa2 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	4						
HB02-E	B	exploratory	4	pending	H001-E HB02-S	InternVideo2 exploratory	Replace video extractor with InternVideo2 in H001-E protocol	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --video-features internvideo2 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	4						
HB03-E	B	exploratory	4	pending	H001-E HB03-S	BEATs audio exploratory	Replace audio extractor with BEATs in H001-E protocol	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --audio-features beats --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	4						
HB04-E	B	exploratory	4	pending	H001-E HB04-S	Audio-MAE exploratory	Replace audio extractor with Audio-MAE in H001-E protocol	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --audio-features audio_mae --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	4						
HB05-E	B	exploratory	4	pending	H001-E HB05-S	Learned text-layer weights exploratory	H001-E with learned softmax over Llama layers instead of frozen mean	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --text-layer-aggregation learned --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	4						
HB06-E	B	exploratory	4	pending	H001-E HB06-S	Llama-3.3-8B text exploratory	H001-E with Llama-3.3-8B replacing 3B	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --text-backbone meta-llama/Llama-3.3-8B-Instruct --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	6						
HC01-E	C	exploratory	4	pending	H001-E HC01-S	VLM-only feature stream exploratory	Single-stream VLM hidden states replace three-stream extractor; H001-E protocol	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --features-source vlm-hidden-states --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	6						
HC02-E	C	exploratory	4	pending	H001-E HC02-S	Contrastive-aligned features exploratory	ImageBind-style projection before combiner; H001-E protocol	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --features-source contrastive-aligned --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	4						
HC03-E	C	exploratory	4	pending	H001-E HC03-S	Cross-modal combiner exploratory	Cross-attention combiner replaces MLP combiner; H001-E protocol	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --combiner cross-attn --cross-attn-depth 2 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	4						
HC04-E	C	exploratory	4	pending	HC01-E HC04-S	Dual-stream exploratory	Per-modality + VLM hidden states concatenated into combiner	experiments/tribe_faithful_retrain.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_faithful_retrain.py --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --features-source dual-stream --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H001-E, all seeds positive	H001-E	6						
HD01-E	D	exploratory	4	pending	H001-E HD01-S	Subject-LoRA exploratory	Rank-8 LoRA per subject inside transformer; multi-subject H001-E-style training on sub-01 sub-02	experiments/tribe_subject_lora.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_subject_lora.py --subjects sub-01 sub-02 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --lora-rank 8 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs matched no-LoRA H001-E, all seeds positive	H001-E	6						
HD02-E	D	exploratory	4	pending	H001-E HD02-S	FiLM subject conditioning exploratory	Per-block subject-conditional LN	experiments/tribe_film_subject.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_film_subject.py --subjects sub-01 sub-02 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs matched non-FiLM, all seeds positive	H001-E	6						
HD03-E	D	exploratory	4	pending	H001-E HD03-S	Hypernetwork readout exploratory	Subject-embedding -> readout matrix via tiny MLP	experiments/tribe_subject_hypernet.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_subject_hypernet.py --subjects sub-01 sub-02 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs matched no-hypernet, all seeds positive	H001-E	6						
HD04-E	D	exploratory	4	pending	H001-E HD04-S	Subject-token exploratory	Prepended subject token, no per-subject linear	experiments/tribe_subject_token.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_subject_token.py --subjects sub-01 sub-02 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs matched per-subject-linear, all seeds positive	H001-E	6						
HE01-E	E	exploratory	4	pending	HE01-S	HRF basis (canonical + derivative) exploratory	Canonical HRF + temporal derivative basis	experiments/tribe_hrf_basis_ablation.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_hrf_basis_ablation.py --basis canonical_plus_deriv --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.005 vs fixed-5s baseline, all seeds positive	H001-E	3						Lower gate (+0.005) because this is a small mechanistic change.
HE02-E	E	exploratory	4	pending	HE01-S	3-component FIR HRF exploratory	Per-vertex 3-component FIR	experiments/tribe_hrf_basis_ablation.py	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_hrf_basis_ablation.py --basis fir3 --subjects sub-01 --episodes s01e01..s01e12 --val-episodes s01e11 s01e12 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.005 vs fixed-5s baseline, all seeds positive	H001-E	3						
HE03-E	E	exploratory	5	pending	H003	Masked-vertex SSL pretraining exploratory	Pretrain readout via 50% masked-vertex prediction before stimulus-coupled training	experiments/tribe_masked_vertex_pretrain.py (to write)	CUDA_VISIBLE_DEVICES=0 python experiments/tribe_masked_vertex_pretrain.py --subjects sub-01 sub-02 sub-03 sub-05 --pretrain-epochs 5 --finetune-epochs 5 --seeds 33 34 35	heldout_val_pearson_mean_delta	mean delta >= +0.01 vs H003, all seeds positive	H003	18						Most expensive exploratory; runs only after H003.
HA01-C	A	confirmatory	5	pending	H003	5-seed ensemble of H003	Average predictions across 5 H003 seeds at inference	experiments/tribe_seed_ensemble.py (to write)	python experiments/tribe_seed_ensemble.py --base-checkpoints results/H003-seed{33,34,35,36,37} --subjects sub-01 sub-02 sub-03 sub-05 --val-episodes s01e11 s01e12	native_tr_pearson_mean_delta	mean delta >= +0.005 vs single-seed H003, non-negative per subject	H003	2						Two extra seeds (36, 37) of H003 needed first; add as separate queue items once H003 lands.
HA02-C	A	confirmatory	5	pending	H003	Test-time augmentation	Average predictions over +/- 1 TR crops and per-modality dropouts	experiments/tribe_tta_eval.py (to write)	python experiments/tribe_tta_eval.py --checkpoint results/H003-seed33 --subjects sub-01 sub-02 sub-03 sub-05 --tta crops dropouts	native_tr_pearson_mean_delta	mean delta >= +0.005 vs no-TTA, non-negative per subject	H003	1						
HA03-C	A	confirmatory	5	pending	H003	Subject-ridge calibration replication on H003	Replicate +0.04 subject-ridge result on top of OUR retrained head, not public weights	experiments/tribe_native_tr_subject_adaptation.py	PYTHONPATH=. CUDA_VISIBLE_DEVICES=0 python experiments/tribe_native_tr_subject_adaptation.py --base-predictions results/H003 --subjects sub-01 sub-02 sub-03 sub-05	native_tr_pearson_mean_delta	mean delta >= +0.01 vs raw H003, all subjects positive	H003	2						Reuses existing harness.
HU01	0	submission	6	pending	H003	Paired official-format submission (raw retrain + best candidate)	Produce raw H003 and best-confirmatory-winner submissions across all available Friends S7 and OOD stimuli	experiments/predict_tribe_algonauts_submission.py	PYTHONPATH=. CUDA_VISIBLE_DEVICES=0 python experiments/predict_tribe_algonauts_submission.py --base-checkpoint results/H003 --candidate-checkpoint results/<winner> --stimuli friends-s7 ood --subjects sub-01 sub-02 sub-03 sub-05	shape_finite	all artifacts (n_TRs, 1000) finite; manifests document provenance and no hidden-label access	none	24						Final pre-Codabench gate. Submit to Codabench manually after this clears.
